,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
0,CLE-2016-04-06,2016-04-06,CLE,H,BOS,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,99
1,TBR-2016-04-12,2016-04-12,CLE,A,TBR,3,0.1,2,1,0,0,1,1,0,0,0,0,0,0,2,0,1,5
2,TBR-2016-04-13,2016-04-13,CLE,A,TBR,4,1.0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0
3,CLE-2016-04-16,2016-04-16,CLE,H,NYM,5,1.1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,2
4,CLE-2016-04-19,2016-04-19,CLE,H,SEA,4,1.0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0,2
5,CLE-2016-04-21,2016-04-21,CLE,H,SEA,8,1.2,3,1,0,0,1,2,0,2,0,0,0,0,4,4,0,1
6,DET-2016-04-22,2016-04-22,CLE,A,DET,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0
7,DET-2016-04-24,2016-04-24,CLE,A,DET,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
8,MIN-2016-04-26,2016-04-26,CLE,A,MIN,4,0.1,1,3,1,0,0,1,1,0,0,0,0,1,2,1,0,1
9,MIN-2016-04-27,2016-04-27,CLE,A,MIN,4,1.0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0
10,PHI-2016-04-29,2016-04-29,CLE,A,PHI,3,0.2,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1
11,CLE-2016-05-03,2016-05-03,CLE,H,DET,4,1.0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,3
12,CLE-2016-05-08,2016-05-08,CLE,H,KCR,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,4
13,HOU-2016-05-10,2016-05-10,CLE,A,HOU,3,1.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
14,HOU-2016-05-11,2016-05-11,CLE,A,HOU,7,1.1,0,0,0,0,0,3,1,1,0,0,0,2,1,0,0,0
15,CLE-2016-05-13,2016-05-13,CLE,H,MIN,6,1.0,1,2,1,0,0,1,0,2,0,0,0,0,3,2,1,1
16,CLE-2016-05-17,2016-05-17,CLE,H,CIN,4,1.0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,3
17,CIN-2016-05-18,2016-05-18,CLE,A,CIN,6,2.0,0,0,0,0,0,0,0,2,0,0,0,3,1,1,0,0
18,BOS-2016-05-20,2016-05-20,CLE,A,BOS,4,1.0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1
19,CHW-2016-05-23,2016-05-23,CLE,A,CHW,4,1.0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2
20,CHW-2016-05-24,2016-05-24,CLE,A,CHW,4,1.0,0,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0
